Сигнал1,Сигнал2,Сигнал3,Сигнал4,art,Название,Тип сигнала,Активность в ibaHD
Подшипник 1,Температура нагрева,Температура,temperature,SM_Exgauster\[2:27],Температура нагрева подшипника №1 (ротора привода эксгаустера №1),analog,1
Подшипник 1,Вибрация,Осевая,vibration_axial,SM_Exgauster\[2:2],Осевая вибрация подшипника №1. Эксгаустер №1,analog,1
Подшипник 1,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[2:0],Горизонтал вибрация подшипника №1. Эксгаустер №1,analog,1
Подшипник 1,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[2:1],Вертикал вибрация подшипника №1. Эксгаустер №1,analog,1
Подшипник 2,Температура нагрева,Температура,temperature,SM_Exgauster\[2:28],Температура нагрева подшипника №2 (ротора привода эксгаустера №1),analog,1
Подшипник 2,Вибрация,Осевая,vibration_axial,SM_Exgauster\[2:5],Осевая вибрация подшипника №2. Эксгаустер №1,analog,1
Подшипник 2,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[2:3],Горизонтал вибрация подшипника №2. Эксгаустер №1,analog,1
Подшипник 2,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[2:4],Вертикал вибрация подшипника №2. Эксгаустер №1,analog,1
Подшипник 3,Температура нагрева,Температура,temperature,SM_Exgauster\[2:29],Температура нагрева подшипника №3 (редуктор эксгаустера). Эксгаустер №1,analog,1
Подшипник 4,Температура нагрева,Температура,temperature,SM_Exgauster\[2:30],Температура нагрева подшипника №4 (редуктор эксгаустера №1),analog,1
Подшипник 5,Температура нагрева,Температура,temperature,SM_Exgauster\[2:31],Температура нагрева подшипника №5 (редуктор эксгаустера №1),analog,1
Подшипник 6,Температура нагрева,Температура,temperature,SM_Exgauster\[2:32],Температура нагрева подшипника №6 (редуктор эксгаустера №1),analog,1
Подшипник 7,Температура нагрева,Температура,temperature,SM_Exgauster\[2:33],Температура нагрева подшипника №7 (ротор эксгаустера №1),analog,1
Подшипник 7,Вибрация,Осевая,vibration_axial,SM_Exgauster\[2:8],Осевая вибрация подшипника №7. Эксгаустер №1,analog,1
Подшипник 7,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[2:6],Горизонтал вибрация подшипника №7. Эксгаустер №1,analog,1
Подшипник 7,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[2:7],Вертикал вибрация подшипника №7. Эксгаустер №1,analog,1
Подшипник 8,Температура нагрева,Температура,temperature,SM_Exgauster\[2:34],Температура нагрева подшипника №8 (ротор эксгаустера №1),analog,1
Подшипник 8,Вибрация,Осевая,vibration_axial,SM_Exgauster\[2:11],Осевая вибрация подшипника №8. Эксгаустер №1,analog,1
Подшипник 8,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[2:9],Горизонтал вибрация подшипника №8. Эксгаустер №1,analog,1
Подшипник 8,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[2:10],Вертикал вибрация подшипника №8. Эксгаустер №1,analog,1
Подшипник 9,Температура нагрева,Температура,temperature,SM_Exgauster\[2:35],Температура нагрева подшипника №9 (ротор эксгаустера №1),analog,1
Охладитель,Масло,,temperature_after,SM_Exgauster\[2:42],Температура масла после охладителя. Эксгаустер №1,analog,1
Охладитель,Масло,,temperature_before,SM_Exgauster\[2:41],Температура масла до охладителя. Эксгаустер №1,analog,1
Охладитель,Вода,,temperature_after,SM_Exgauster\[2:37],Температура воды на выходе охладителя. Эксгаустер №1,analog,1
Охладитель,Вода,,temperature_before,SM_Exgauster\[2:36],Температура воды до охладителя. Эксгаустер №1,analog,1
Газовый коллектор,,,temperature_before,SM_Exgauster\[2:24],Температура перед эксгаустером №1,analog,1
Газовый коллектор,,,underpressure_before,SM_Exgauster\[2:61],Разрежение перед эксгаустером №1,analog,1
Положение задвижки,,,gas_valve_closed,SM_Exgauster\[4.1],ЗАКРЫТО задвижка газ эксгаустер №1,digital,1
Положение задвижки,,,gas_valve_open,SM_Exgauster\[4.2],ОТКРЫТО задвижка газ эксгаустер №1,digital,1
